NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2014;100075;71;2;10028;4004;1;2411205;24;2
2014;100105;71;2;10028;4004;1;2408300;24;2
2014;100244;1082;1;10026;72;1;2408102;24;2
2014;100246;1082;1;10026;79;1;2408102;24;2
2014;101830;587;1;10028;4006;1;2613909;26;2
2014;101942;577;1;10028;4004;1;2700300;27;2
2014;102062;4566;4;10022;79;1;2408102;24;2
2014;102312;32;2;10028;72;1;2704302;27;2
2014;102590;5;1;10028;4006;1;2208007;22;2
2014;103062;40;2;10028;4006;1;2927408;29;2
2014;104360;2135;5;10022;4006;1;2311306;23;2
2014;1047907;4118;4;10022;4006;1;2610707;26;2
2014;104868;385;4;10028;4006;0;2927408;29;2
2014;105074;568;2;10028;5809;1;2111300;21;2
2014;10515;519;5;10028;4006;1;2927408;29;2
2014;1053121;13106;4;10022;72;1;2304400;23;2
2014;1053123;13106;4;10022;79;1;2304400;23;2
2014;105314;159;5;10022;79;1;2604106;26;2
2014;105762;2460;4;10022;79;1;2408102;24;2
2014;1058390;2122;4;10022;79;1;2800308;28;2
2014;1058492;1772;4;10022;72;1;2304400;23;2
2014;1058504;1772;4;10022;79;1;2304400;23;2
2014;106167;583;1;10028;4006;1;2311306;23;2
2014;107360;579;1;10028;4006;1;2512903;25;2
2014;107409;4153;4;10022;4006;1;2611606;26;2
2014;107422;2466;4;10022;4006;1;2313401;23;2
2014;1076195;2043;4;10022;72;1;2305407;23;2
2014;107689;555;5;10028;5809;1;2304400;23;2
2014;107920;4865;4;10022;4004;1;2111300;21;2
2014;107964;396;4;10022;4006;1;2927408;29;2
2014;108230;1805;4;10022;79;1;2607901;26;2
2014;108232;2460;4;10022;72;1;2408102;24;2
2014;108660;5;1;10028;4006;0;2211001;22;2
2014;109572;2632;5;10022;4004;1;2910727;29;2
2014;109796;2076;4;10022;72;1;2927408;29;2
2014;109798;2076;4;10022;79;1;2927408;29;2
2014;1101244;3160;1;10026;4006;1;2704302;27;2
2014;1101402;1055;5;10022;79;1;2927408;29;2
2014;1102011;2642;5;10022;4006;1;2706406;27;2
2014;1102628;587;1;10028;4004;1;2611606;26;2
2014;1103633;14509;1;10026;72;1;2907509;29;2
2014;1103664;14509;1;10026;4005;1;2930105;29;2
2014;1103723;1455;5;10022;4004;1;2900702;29;2
2014;1104245;1452;4;10022;79;1;2111300;21;2
2014;110646;1298;4;10022;79;1;2704302;27;2
2014;1106470;4964;4;10022;72;1;2103000;21;2
2014;1108554;3853;4;10022;79;1;2408102;24;2
2014;1114770;519;5;10028;79;1;2927408;29;2
2014;111494;398;4;10028;4005;1;2800308;28;2
2014;1117071;396;4;10022;79;1;2927408;29;2
2014;1117715;589;1;10028;4005;1;2400802;24;2
2014;1117717;589;1;10028;4006;1;2400802;24;2
2014;1118107;396;4;10022;72;1;2927408;29;2
2014;112192;1807;1;10026;5809;1;2304400;23;2
2014;112272;4823;4;10022;79;1;2304400;23;2
2014;1122749;599;1;10026;72;1;2910727;29;2
2014;1125808;599;1;10026;4005;1;2925303;29;2
2014;1125917;3161;1;10026;4005;1;2611101;26;2
2014;1127191;583;1;10028;79;1;2311306;23;2
2014;1128808;4153;4;10022;79;1;2611606;26;2
2014;1132918;578;1;10028;4006;1;2927408;29;2
2014;113455;577;1;10028;4006;0;2704302;27;2
2014;1134819;3669;4;10022;79;1;2926608;29;2
2014;1136142;580;1;10028;4006;1;2611606;26;2
2014;113671;587;1;10028;4005;0;2611606;26;2
2014;113687;587;1;10028;4006;0;2611606;26;2
2014;113813;600;1;10026;4006;1;2111300;21;2
2014;113867;1944;4;10022;79;1;2611606;26;2
2014;1138879;1055;5;10022;72;1;2927408;29;2
2014;1138947;3879;4;10022;72;1;2504009;25;2
2014;114053;550;2;10028;4005;1;2510808;25;2
2014;11452;548;1;10028;4004;1;2111300;21;2
2014;114616;4742;5;10022;4006;1;2609600;26;2
2014;1149495;1077;4;10022;79;1;2611606;26;2
2014;1151121;756;2;10028;4005;1;2211001;22;2
2014;1151126;756;2;10028;4005;1;2208403;22;2
2014;1151293;756;2;10028;4005;1;2211209;22;2
2014;1151448;29;2;10028;4005;0;2304400;23;2
2014;1151555;2497;4;10022;79;1;2304400;23;2
2014;1151687;1978;4;10022;72;1;2304400;23;2
2014;1152931;2067;4;10022;79;1;2928703;29;2
2014;1158385;1363;5;10022;72;1;2927408;29;2
2014;116188;3;1;10028;5809;1;2806701;28;2
2014;1163800;14509;1;10026;72;1;2911709;29;2
2014;1164501;40;2;10028;4005;1;2930105;29;2
2014;1164502;40;2;10028;4005;1;2931350;29;2
2014;116590;599;1;10026;72;1;2927408;29;2
2014;1166239;519;5;10028;72;1;2927408;29;2
2014;1166614;1166;1;10026;72;1;2509701;25;2
2014;116770;570;1;10028;4006;1;2402006;24;2
2014;117022;1885;4;10022;4006;1;2111300;21;2
2014;117082;578;1;10028;5809;1;2927408;29;2
2014;1172346;555;5;10028;72;1;2304400;23;2
2014;11730;555;5;10028;4004;1;2304400;23;2
2014;117316;600;1;10026;4005;0;2111300;21;2
2014;1179354;352;5;10020;79;1;2507507;25;2
2014;118420;587;1;10028;4006;1;2611606;26;2
2014;1184491;40;2;10028;4005;0;2927408;29;2
2014;118468;587;1;10028;4004;1;2606002;26;2
2014;119534;4700;4;10022;4004;1;2611606;26;2
2014;119970;2037;4;10022;79;1;2919207;29;2
2014;120172;1735;4;10022;72;1;2307304;23;2
2014;1205729;4503;1;10028;5809;1;2909802;29;2
2014;121227;398;4;10028;4005;0;2800308;28;2
2014;121564;409;2;10028;4005;1;2606002;26;2
2014;122364;583;1;10028;5809;1;2304400;23;2
2014;12313;570;1;10028;4004;1;2408102;24;2
2014;123502;599;1;10026;4005;1;2932903;29;2
2014;13216;577;1;10028;4004;1;2704302;27;2
2014;13277;578;1;10028;4004;1;2927408;29;2
2014;13401;579;1;10028;4004;1;2507507;25;2
2014;13446;2564;1;10028;4004;1;2504009;25;2
2014;13595;580;1;10028;4004;1;2611606;26;2
2014;13980;583;1;10028;4004;1;2304400;23;2
2014;17266;847;5;10022;72;1;2211001;22;2
2014;17898;1059;4;10022;4004;1;2304400;23;2
2014;18267;396;4;10022;4004;1;2927408;29;2
2014;18392;570;1;10028;5809;1;2408102;24;2
2014;18558;756;2;10028;4004;1;2207702;22;2
2014;18559;756;2;10028;4004;1;2211001;22;2
2014;18584;95;2;10028;4004;1;2312908;23;2
2014;18671;40;2;10028;4006;1;2900702;29;2
2014;18680;718;4;10028;5809;1;2408102;24;2
2014;18683;398;4;10028;4004;1;2800308;28;2
2014;18903;621;5;10020;4006;1;2704302;27;2
2014;19042;688;2;10028;4004;1;2933307;29;2
2014;19047;352;5;10020;4004;1;2507507;25;2
2014;19780;1264;5;10020;4006;1;2408102;24;2
2014;20030;385;4;10028;4004;1;2927408;29;2
2014;20239;24;2;10028;4004;1;2913606;29;2
2014;20756;1441;4;10022;4006;1;2211001;22;2
2014;20933;71;2;10028;4004;1;2408003;24;2
2014;21464;1107;4;10020;4006;1;2304400;23;2
2014;21475;1185;4;10020;4006;1;2927408;29;2
2014;22047;718;4;10028;4006;1;2408102;24;2
2014;2209;29;2;10028;4004;1;2304400;23;2
2014;317;3;1;10028;4004;1;2806701;28;2
2014;37862;692;3;10022;4004;1;2611101;26;2
2014;40343;398;4;10028;4006;1;2800308;28;2
2014;43917;587;1;10028;4005;1;2611606;26;2
2014;45883;409;2;10028;5809;1;2611606;26;2
2014;46068;3304;5;10022;4006;1;2510808;25;2
2014;46377;1658;4;10022;4004;1;2304400;23;2
2014;46487;1680;4;10022;4006;1;2408003;24;2
2014;47051;1298;4;10022;4006;1;2704302;27;2
2014;47069;1556;4;10022;4006;1;2304400;23;2
2014;47478;4420;4;10022;4006;1;2609600;26;2
2014;47505;1552;4;10022;4006;1;2207702;22;2
2014;48040;1758;4;10022;5809;1;2933307;29;2
2014;48076;1771;4;10022;4006;1;2611606;26;2
2014;48201;1803;5;10022;4004;1;2611606;26;2
2014;48205;1805;4;10022;4004;1;2607901;26;2
2014;48231;1809;1;10026;72;1;2611606;26;2
2014;48675;1058;4;10020;4006;1;2927408;29;2
2014;49054;1077;4;10022;4006;1;2611606;26;2
2014;49071;1075;4;10022;4006;1;2507507;25;2
2014;5000135;1807;1;10026;4006;1;2304202;23;2
2014;5000141;1807;1;10026;79;1;2302800;23;2
2014;5000143;1807;1;10026;4004;1;2307650;23;2
2014;5000349;1546;5;10022;4004;1;2108207;21;2
2014;50082;1717;4;10022;4006;1;2105302;21;2
2014;50981;1734;4;10022;4006;1;2211001;22;2
2014;50996;1610;5;10022;4006;1;2211001;22;2
2014;51020;396;4;10022;4006;1;2927408;29;2
2014;513;5;1;10028;4004;1;2211001;22;2
2014;51715;1944;4;10022;72;1;2611606;26;2
2014;51864;1965;5;10022;72;1;2704302;27;2
2014;53331;1053;4;10022;4006;1;2910800;29;2
2014;53333;1364;4;10022;4006;1;2933307;29;2
2014;53342;1895;4;10020;4006;1;2304400;23;2
2014;54934;2037;4;10022;4006;1;2919207;29;2
2014;55173;1410;4;10022;5809;1;2927408;29;2
2014;55402;823;5;10028;4006;1;2111300;21;2
2014;56158;2783;4;10022;72;1;2304400;23;2
2014;56172;385;4;10028;4006;1;2927408;29;2
2014;57606;71;2;10028;4004;1;2408102;24;2
2014;57612;1642;4;10022;4006;1;2914802;29;2
2014;58391;1166;1;10026;79;1;2507507;25;2
2014;58804;2085;5;10022;4004;1;2927408;29;2
2014;58854;580;1;10028;5809;1;2611606;26;2
2014;58910;2075;5;10022;4004;1;2704302;27;2
2014;59078;1462;5;10022;4004;1;2507507;25;2
2014;59122;1819;4;10022;4004;1;2304400;23;2
2014;59619;1643;5;10022;79;1;2910800;29;2
2014;60194;3337;4;10022;79;1;2211001;22;2
2014;62638;1820;1;10026;72;1;2211001;22;2
2014;63080;1461;4;10022;4006;1;2927408;29;2
2014;64664;1334;4;10022;4006;1;2504009;25;2
2014;64710;666;2;10028;5809;1;2910800;29;2
2014;67092;1708;5;10022;4004;1;2611606;26;2
2014;68930;1697;5;10022;4006;1;2616407;26;2
2014;69190;583;1;10028;5809;1;2304400;23;2
2014;69214;3805;4;10022;72;1;2503209;25;2
2014;70051;1107;4;10020;72;1;2304400;23;2
2014;71549;2085;5;10022;79;1;2927408;29;2
2014;72070;1107;4;10020;79;1;2304400;23;2
2014;72225;1708;5;10022;79;1;2611606;26;2
2014;72607;1790;5;10022;72;1;2931350;29;2
2014;73140;2222;4;10022;4006;1;2924009;29;2
2014;73451;1645;4;10022;4006;1;2918001;29;2
2014;73519;2437;4;10022;4004;1;2931350;29;2
2014;73596;159;5;10022;72;1;2604106;26;2
2014;73883;1185;4;10020;79;1;2927408;29;2
2014;73887;1185;4;10020;72;1;2927408;29;2
2014;74500;398;4;10028;72;1;2800308;28;2
2014;80892;4094;4;10022;72;1;2507507;25;2
2014;80956;4094;4;10022;79;1;2507507;25;2
2014;82615;550;2;10028;4005;1;2504009;25;2
2014;83182;2783;4;10022;79;1;2304400;23;2
2014;83388;1255;4;10022;4004;1;2611606;26;2
2014;85364;823;5;10028;72;1;2111300;21;2
2014;87396;409;2;10028;4006;1;2604106;26;2
2014;87960;3984;1;10028;5809;1;2918407;29;2
2014;88068;3588;4;10022;4006;1;2927408;29;2
2014;88084;916;4;10022;4004;1;2211001;22;2
2014;88154;1058;4;10020;4004;1;2927408;29;2
2014;88574;385;4;10028;79;1;2927408;29;2
2014;88728;1820;1;10026;72;1;2203909;22;2
2014;90030;1772;4;10022;4006;1;2304400;23;2
2014;91181;1059;4;10022;4006;1;2304400;23;2
2014;91262;589;1;10028;4005;1;2408003;24;2
2014;91509;2835;4;10020;79;1;2611606;26;2
2014;92119;385;4;10028;5809;1;2927408;29;2
2014;94455;3930;4;10022;4004;1;2208007;22;2
2014;94762;2835;4;10020;4006;1;2611606;26;2
2014;95017;3;1;10028;4006;1;2802908;28;2
2014;95104;1166;1;10026;72;1;2503704;25;2
2014;95175;2593;4;10022;4006;1;2307304;23;2
2014;968;11;5;10028;4004;1;2611606;26;2
2014;97057;1058;4;10020;79;1;2927408;29;2
2014;97443;385;4;10028;4006;1;2910800;29;2
2014;97778;688;2;10028;4006;1;2918001;29;2
2014;98013;4399;4;10022;4006;1;2101400;21;2
2014;98764;2244;5;10022;4004;1;2704302;27;2
2014;98984;579;1;10028;4005;1;2512903;25;2
2014;99202;2242;5;10022;4004;1;2611606;26;2
2014;99300;583;1;10028;5809;1;2312908;23;2
2014;99406;3;1;10028;4006;1;2806701;28;2
2014;99820;3388;4;10022;4006;1;2307304;23;2
